country,year,population,yearly_%_change,yearly_change,migrants(net),median_age,fetility_rate,density,urban_pop_%,urban_pop,country_share_of_world_pop,world_pop,China_global_rank
Canada,1955,"15,673,763",2.68 %,"388,072","111,156",27.3,3.65,2,66.0 %,"10,340,832",0.57 %,"2,773,019,936",
Poland,1955,"27,269,749",1.90 %,"489,146",0,26.0,3.63,89,43.2 %,"11,779,020",0.98 %,"2,773,019,936",
Afghanistan,1955,"8,270,991",1.30 %,"103,775","-4,000",19.2,7.45,13,7.1 %,"587,818",0.30 %,"2,773,019,936",
Iraq,1955,"6,502,657",2.60 %,"156,693",-110,20.3,7.30,15,37.6 %,"2,447,031",0.23 %,"2,773,019,936",
Ukraine,1955,"40,019,491",1.42 %,"544,369","8,785",28.3,2.81,69,41.4 %,"16,557,439",1.44 %,"2,773,019,936",
Sudan,1955,"6,549,298",2.70 %,"163,102",0,17.8,6.65,4,8.6 %,"562,183",0.24 %,"2,773,019,936",
Algeria,1955,"9,774,283",1.96 %,"180,407","-71,989",18.5,7.28,4,26.3 %,"2,570,392",0.35 %,"2,773,019,936",
Argentina,1955,"18,789,418",1.98 %,"350,301","56,018",26.0,3.15,7,70.2 %,"13,181,070",0.68 %,"2,773,019,936",
Spain,1955,"29,048,395",0.69 %,"195,732","-101,007",28.6,2.53,58,54.4 %,"15,792,936",1.05 %,"2,773,019,936",
Uganda,1955,"5,888,793",2.68 %,"146,121",0,17.8,6.90,29,3.5 %,"208,359",0.21 %,"2,773,019,936",
Colombia,1955,"13,775,000",2.83 %,"358,685","-41,681",17.4,6.51,12,40.5 %,"5,579,539",0.50 %,"2,773,019,936",
Myanmar,1955,"19,550,071",1.92 %,"354,089",0,21.5,6.00,30,17.0 %,"3,323,690",0.71 %,"2,773,019,936",
South Korea,1955,"21,514,570",2.29 %,"460,637","86,590",18.9,5.65,221,24.4 %,"5,251,885",0.78 %,"2,773,019,936",
Kenya,1955,"6,987,658",2.83 %,"182,180",0,18.9,7.48,12,6.4 %,"448,051",0.25 %,"2,773,019,936",
South Africa,1955,"15,206,502",2.22 %,"315,615","1,492",20.6,6.05,13,44.9 %,"6,829,341",0.55 %,"2,773,019,936",
Tanzania,1955,"8,729,662",2.68 %,"215,980","2,003",17.1,6.74,10,4.4 %,"385,389",0.31 %,"2,773,019,936",
Nigeria,1955,"41,086,100",1.65 %,"645,270",674,19.1,6.35,45,12.1 %,"4,952,844",1.48 %,"2,773,019,936",
Pakistan,1955,"40,488,030",1.52 %,"589,131","-1,651",20.1,6.60,53,19.7 %,"7,968,418",1.46 %,"2,773,019,936",
Brazil,1955,"62,533,919",2.99 %,"1,711,838","59,635",18.9,6.10,7,41.1 %,"25,688,833",2.26 %,"2,773,019,936",
Indonesia,1955,"77,273,425",2.13 %,"1,546,022","75,743",20.4,5.49,43,13.5 %,"10,404,671",2.79 %,"2,773,019,936",
United States,1955,"171,685,336",1.57 %,"2,576,188","173,553",30.3,3.31,19,67.2 %,"115,375,863",6.19 %,"2,773,019,936",
India,1955,"409,880,595",1.72 %,"6,711,079","-21,140",20.7,5.90,138,17.6 %,"71,958,495",14.78 %,"2,773,019,936",
Italy,1955,"48,335,578",0.73 %,"347,395","-47,233",30.2,2.36,164,56.9 %,"27,502,303",1.74 %,"2,773,019,936",
