country_name,year,debt_to_gdp_ratio,growth_rate,population
Zimbabwe,2005,20.99%,0.33%,"15,331,428"
Zimbabwe,2000,20.99%,0.81%,"15,331,428"
Zimbabwe,1995,20.99%,1.81%,"15,331,428"
Brunei,1975,2.63%,4.53%,"445,431"
Brunei,1970,2.63%,4.81%,"445,431"
Brunei,1965,2.63%,4.62%,"445,431"
Brunei,1960,2.63%,5.22%,"445,431"
Brunei,1955,2.63%,5.71%,"445,431"
Luxembourg,2021,21.61%,1.85%,"642,371"
Luxembourg,2020,21.61%,1.67%,"642,371"
Luxembourg,2019,21.61%,1.90%,"642,371"
Luxembourg,2018,21.61%,2.08%,"642,371"
Tuvalu,2022,21.81%,1.20%,"12,066"
Afghanistan,1965,6.88%,2.05%,"40,754,388"
Afghanistan,1960,6.88%,1.70%,"40,754,388"
Afghanistan,1955,6.88%,1.30%,"40,754,388"
Azerbaijan,2005,17.59%,1.00%,"10,300,205"
Azerbaijan,2000,17.59%,0.88%,"10,300,205"
Azerbaijan,1995,17.59%,1.43%,"10,300,205"
Kuwait,1995,17.78%,-5.18%,"4,380,326"
Kuwait,1990,17.78%,3.84%,"4,380,326"
Kuwait,1985,17.78%,4.86%,"4,380,326"
Kuwait,1980,17.78%,6.02%,"4,380,326"
Kuwait,1975,17.78%,6.54%,"4,380,326"
Kuwait,1970,17.78%,9.54%,"4,380,326"
Micronesia,2005,18.41%,-0.24%,"117,489"
Micronesia,2000,18.41%,-0.02%,"117,489"
Micronesia,1995,18.41%,2.23%,"117,489"
Micronesia,1990,18.41%,2.37%,"117,489"
Micronesia,1985,18.41%,3.26%,"117,489"
Micronesia,1980,18.41%,2.93%,"117,489"
Micronesia,1975,18.41%,0.55%,"117,489"
United Arab Emirates,1975,19.20%,18.51%,"10,081,785"
United Arab Emirates,1970,19.20%,9.37%,"10,081,785"
United Arab Emirates,1965,19.20%,10.15%,"10,081,785"
United Arab Emirates,1960,19.20%,3.04%,"10,081,785"
United Arab Emirates,1955,19.20%,2.72%,"10,081,785"
Paraguay,2022,22.37%,1.25%,"7,305,843"
Paraguay,2021,22.37%,1.27%,"7,305,843"
Paraguay,2020,22.37%,1.25%,"7,305,843"
Paraguay,2019,22.37%,1.27%,"7,305,843"
Bulgaria,1985,19.33%,0.22%,"6,844,597"
Bulgaria,1980,19.33%,0.32%,"6,844,597"
Bulgaria,1975,19.33%,0.54%,"6,844,597"
Bulgaria,1970,19.33%,0.68%,"6,844,597"
Bulgaria,1965,19.33%,0.84%,"6,844,597"
Bulgaria,1960,19.33%,0.84%,"6,844,597"
Bulgaria,1955,19.33%,0.84%,"6,844,597"
Uzbekistan,2022,23.23%,1.47%,"34,382,084"
Uzbekistan,2021,23.23%,1.54%,"34,382,084"
Uzbekistan,2020,23.23%,1.48%,"34,382,084"
Kiribati,2022,23.48%,1.57%,"123,419"
Kiribati,2021,23.48%,1.53%,"123,419"
Kazakhstan,1995,20.90%,-0.67%,"19,205,043"
Kazakhstan,1990,20.90%,0.90%,"19,205,043"
Kazakhstan,1985,20.90%,1.15%,"19,205,043"
Kazakhstan,1980,20.90%,1.04%,"19,205,043"
Kazakhstan,1975,20.90%,1.51%,"19,205,043"
Kazakhstan,1970,20.90%,1.94%,"19,205,043"
Kazakhstan,1965,20.90%,3.57%,"19,205,043"
Saudi Arabia,2022,23.71%,1.60%,"35,844,909"
Saudi Arabia,2021,23.71%,1.73%,"35,844,909"
Saudi Arabia,2020,23.71%,1.59%,"35,844,909"
Zimbabwe,1990,20.99%,3.28%,"15,331,428"
Zimbabwe,1985,20.99%,3.68%,"15,331,428"
Zimbabwe,1980,20.99%,3.31%,"15,331,428"
Zimbabwe,1975,20.99%,3.54%,"15,331,428"
Zimbabwe,1970,20.99%,3.42%,"15,331,428"
Zimbabwe,1965,20.99%,3.43%,"15,331,428"
Guatemala,2022,24.76%,1.90%,"18,584,039"
Chile,2022,27.17%,0.83%,"19,250,195"
Chile,2021,27.17%,1.08%,"19,250,195"
Chile,2020,27.17%,0.87%,"19,250,195"
Luxembourg,2017,21.61%,2.18%,"642,371"
Luxembourg,2015,21.61%,2.22%,"642,371"
Luxembourg,2010,21.61%,2.10%,"642,371"
Luxembourg,2005,21.61%,0.98%,"642,371"
Luxembourg,2000,21.61%,1.33%,"642,371"
Luxembourg,1995,21.61%,1.34%,"642,371"
Tuvalu,2021,21.81%,1.23%,"12,066"
Tuvalu,2020,21.81%,1.25%,"12,066"
Tuvalu,2019,21.81%,1.20%,"12,066"
Tuvalu,2018,21.81%,1.21%,"12,066"
Tuvalu,2017,21.81%,1.29%,"12,066"
Tuvalu,2015,21.81%,1.06%,"12,066"
Tuvalu,2010,21.81%,1.04%,"12,066"
Tuvalu,2005,21.81%,1.26%,"12,066"
Azerbaijan,1990,17.59%,1.67%,"10,300,205"
Azerbaijan,1985,17.59%,1.62%,"10,300,205"
Azerbaijan,1980,17.59%,1.63%,"10,300,205"
Azerbaijan,1975,17.59%,1.84%,"10,300,205"
Azerbaijan,1970,17.59%,2.44%,"10,300,205"
Azerbaijan,1965,17.59%,3.35%,"10,300,205"
Kuwait,1965,17.78%,11.90%,"4,380,326"
Kuwait,1960,17.78%,8.14%,"4,380,326"
Kuwait,1955,17.78%,3.51%,"4,380,326"
Micronesia,1970,18.41%,3.29%,"117,489"
Micronesia,1965,18.41%,3.25%,"117,489"
Micronesia,1960,18.41%,3.28%,"117,489"
Micronesia,1955,18.41%,3.43%,"117,489"
Paraguay,2018,22.37%,1.30%,"7,305,843"
Paraguay,2017,22.37%,1.32%,"7,305,843"
Paraguay,2015,22.37%,1.37%,"7,305,843"
Paraguay,2010,22.37%,1.42%,"7,305,843"
Paraguay,2005,22.37%,1.81%,"7,305,843"
Paraguay,2000,22.37%,2.19%,"7,305,843"
Paraguay,1995,22.37%,2.49%,"7,305,843"
Uzbekistan,2019,23.23%,1.56%,"34,382,084"
Uzbekistan,2018,23.23%,1.62%,"34,382,084"
Uzbekistan,2017,23.23%,1.65%,"34,382,084"
Uzbekistan,2015,23.23%,1.64%,"34,382,084"
Uzbekistan,2010,23.23%,1.53%,"34,382,084"
Uzbekistan,2005,23.23%,1.30%,"34,382,084"
Kiribati,2020,23.48%,1.57%,"123,419"
Kiribati,2019,23.48%,1.52%,"123,419"
Kiribati,2018,23.48%,1.48%,"123,419"
Kiribati,2017,23.48%,1.45%,"123,419"
Kiribati,2015,23.48%,1.51%,"123,419"
Kiribati,2010,23.48%,2.20%,"123,419"
Kazakhstan,1960,20.90%,4.60%,"19,205,043"
Kazakhstan,1955,20.90%,3.43%,"19,205,043"
Saudi Arabia,2019,23.71%,1.68%,"35,844,909"
Saudi Arabia,2018,23.71%,1.82%,"35,844,909"
Saudi Arabia,2017,23.71%,2.03%,"35,844,909"
Saudi Arabia,2015,23.71%,2.95%,"35,844,909"
Saudi Arabia,2010,23.71%,2.86%,"35,844,909"
Saudi Arabia,2005,23.71%,2.88%,"35,844,909"
Zimbabwe,1960,20.99%,3.28%,"15,331,428"
Zimbabwe,1955,20.99%,3.19%,"15,331,428"
Peru,2022,27.18%,1.39%,"33,684,208"
Guatemala,2021,24.76%,1.93%,"18,584,039"
Guatemala,2020,24.76%,1.90%,"18,584,039"
Guatemala,2019,24.76%,1.93%,"18,584,039"
Marshall Islands,2022,23.37%,0.68%,"60,057"
Marshall Islands,2021,23.37%,0.64%,"60,057"
Marshall Islands,2020,23.37%,0.68%,"60,057"
Marshall Islands,2019,23.37%,0.65%,"60,057"
Chile,2019,27.17%,1.19%,"19,250,195"
Chile,2018,27.17%,1.40%,"19,250,195"
Chile,2017,27.17%,1.44%,"19,250,195"
Chile,2015,27.17%,1.04%,"19,250,195"
Chile,2010,27.17%,1.06%,"19,250,195"
Chile,2005,27.17%,1.07%,"19,250,195"
Chile,2000,27.17%,1.30%,"19,250,195"
Chile,1995,27.17%,1.61%,"19,250,195"
Chile,1990,27.17%,1.61%,"19,250,195"
Luxembourg,1990,21.61%,0.80%,"642,371"
Luxembourg,1985,21.61%,0.16%,"642,371"
Luxembourg,1980,21.61%,0.56%,"642,371"
Luxembourg,1975,21.61%,0.83%,"642,371"
Luxembourg,1970,21.61%,0.57%,"642,371"
Tuvalu,2000,21.81%,0.21%,"12,066"
Tuvalu,1995,21.81%,0.85%,"12,066"
Tuvalu,1990,21.81%,1.63%,"12,066"
Tuvalu,1985,21.81%,1.48%,"12,066"
Tuvalu,1980,21.81%,4.74%,"12,066"
Tuvalu,1975,21.81%,1.11%,"12,066"
Tuvalu,1970,21.81%,1.26%,"12,066"
Tuvalu,1965,21.81%,0.24%,"12,066"
Azerbaijan,1960,17.59%,3.19%,"10,300,205"
Azerbaijan,1955,17.59%,2.60%,"10,300,205"
Paraguay,1990,22.37%,2.81%,"7,305,843"
Paraguay,1985,22.37%,2.93%,"7,305,843"
Paraguay,1980,22.37%,2.65%,"7,305,843"
Paraguay,1975,22.37%,2.44%,"7,305,843"
Paraguay,1970,22.37%,2.64%,"7,305,843"
Paraguay,1965,22.37%,2.67%,"7,305,843"
Paraguay,1960,22.37%,2.61%,"7,305,843"
Paraguay,1955,22.37%,2.58%,"7,305,843"
New Zealand,2022,28.07%,0.82%,"4,898,203"
New Zealand,2021,28.07%,0.85%,"4,898,203"
New Zealand,2020,28.07%,0.82%,"4,898,203"
New Zealand,2019,28.07%,0.84%,"4,898,203"
Moldova,2022,28.82%,-0.23%,"4,013,171"
Moldova,2021,28.82%,-0.21%,"4,013,171"
Moldova,2020,28.82%,-0.23%,"4,013,171"
Moldova,2019,28.82%,-0.21%,"4,013,171"
Moldova,2018,28.82%,-0.19%,"4,013,171"
Uzbekistan,2000,23.23%,1.68%,"34,382,084"
Uzbekistan,1995,23.23%,2.24%,"34,382,084"
Uzbekistan,1990,23.23%,2.46%,"34,382,084"
Uzbekistan,1985,23.23%,2.58%,"34,382,084"
Uzbekistan,1980,23.23%,2.79%,"34,382,084"
Uzbekistan,1975,23.23%,2.78%,"34,382,084"
Kiribati,2005,23.48%,1.81%,"123,419"
Kiribati,2000,23.48%,1.66%,"123,419"
Kiribati,1995,23.48%,1.43%,"123,419"
Kiribati,1990,23.48%,2.50%,"123,419"
Kiribati,1985,23.48%,1.53%,"123,419"
Kiribati,1980,23.48%,1.47%,"123,419"
Indonesia,2022,29.29%,1.07%,"279,134,505"
Indonesia,2021,29.29%,1.11%,"279,134,505"
Cambodia,2022,29.57%,1.41%,"17,168,639"
Cambodia,2021,29.57%,1.45%,"17,168,639"
Cambodia,2020,29.57%,1.41%,"17,168,639"
Saudi Arabia,2000,23.71%,2.08%,"35,844,909"
Saudi Arabia,1995,23.71%,2.80%,"35,844,909"
Saudi Arabia,1990,23.71%,4.35%,"35,844,909"
Saudi Arabia,1985,23.71%,6.24%,"35,844,909"
Saudi Arabia,1980,23.71%,5.49%,"35,844,909"
Saudi Arabia,1975,23.71%,4.92%,"35,844,909"
Turkey,2022,29.93%,1.07%,"85,561,976"
Peru,2021,27.18%,1.53%,"33,684,208"
Peru,2020,27.18%,1.42%,"33,684,208"
Peru,2019,27.18%,1.63%,"33,684,208"
Peru,2018,27.18%,1.73%,"33,684,208"
Peru,2017,27.18%,1.68%,"33,684,208"
Peru,2015,27.18%,0.97%,"33,684,208"
Guatemala,2018,24.76%,1.97%,"18,584,039"
Guatemala,2017,24.76%,2.00%,"18,584,039"
Guatemala,2015,24.76%,2.13%,"18,584,039"
Guatemala,2010,24.76%,2.24%,"18,584,039"
Guatemala,2005,24.76%,2.37%,"18,584,039"
Guatemala,2000,24.76%,2.28%,"18,584,039"
Guatemala,1995,24.76%,2.36%,"18,584,039"
Guatemala,1990,24.76%,2.37%,"18,584,039"
Iran,2022,30.04%,1.29%,"86,022,837"
Iran,2021,30.04%,1.34%,"86,022,837"
Iran,2020,30.04%,1.30%,"86,022,837"
Marshall Islands,2018,23.37%,0.61%,"60,057"
Marshall Islands,2017,23.37%,0.56%,"60,057"
Marshall Islands,2015,23.37%,0.38%,"60,057"
Marshall Islands,2010,23.37%,0.40%,"60,057"
Marshall Islands,2005,23.37%,1.71%,"60,057"
Marshall Islands,2000,23.37%,0.12%,"60,057"
Chile,1985,27.17%,1.43%,"19,250,195"
Chile,1980,27.17%,1.52%,"19,250,195"
Chile,1975,27.17%,1.60%,"19,250,195"
Chile,1970,27.17%,1.71%,"19,250,195"
Chile,1965,27.17%,2.02%,"19,250,195"
Chile,1960,27.17%,2.12%,"19,250,195"
Luxembourg,1965,21.61%,0.97%,"642,371"
Luxembourg,1960,21.61%,0.60%,"642,371"
Luxembourg,1955,21.61%,0.62%,"642,371"
Tuvalu,1960,21.81%,0.98%,"12,066"
Tuvalu,1955,21.81%,1.64%,"12,066"
New Zealand,2018,28.07%,0.87%,"4,898,203"
New Zealand,2017,28.07%,0.92%,"4,898,203"
New Zealand,2015,28.07%,1.09%,"4,898,203"
New Zealand,2010,28.07%,1.11%,"4,898,203"
New Zealand,2005,28.07%,1.39%,"4,898,203"
New Zealand,2000,28.07%,0.98%,"4,898,203"
New Zealand,1995,28.07%,1.58%,"4,898,203"
New Zealand,1990,28.07%,0.78%,"4,898,203"
Moldova,2017,28.82%,-0.16%,"4,013,171"
Moldova,2015,28.82%,-0.07%,"4,013,171"
Moldova,2010,28.82%,-0.36%,"4,013,171"
Moldova,2005,28.82%,-0.21%,"4,013,171"
Moldova,2000,28.82%,-0.64%,"4,013,171"
Moldova,1995,28.82%,-0.11%,"4,013,171"
Moldova,1990,28.82%,0.70%,"4,013,171"
Moldova,1985,28.82%,1.00%,"4,013,171"
Moldova,1980,28.82%,0.88%,"4,013,171"
Uzbekistan,1970,23.23%,3.61%,"34,382,084"
Uzbekistan,1965,23.23%,3.48%,"34,382,084"
Uzbekistan,1960,23.23%,3.22%,"34,382,084"
Uzbekistan,1955,23.23%,3.04%,"34,382,084"
Kiribati,1975,23.48%,1.50%,"123,419"
Kiribati,1970,23.48%,1.96%,"123,419"
Kiribati,1965,23.48%,2.42%,"123,419"
Kiribati,1960,23.48%,2.41%,"123,419"
Kiribati,1955,23.48%,2.05%,"123,419"
Indonesia,2020,29.29%,1.07%,"279,134,505"
Indonesia,2019,29.29%,1.10%,"279,134,505"
Indonesia,2018,29.29%,1.14%,"279,134,505"
Indonesia,2017,29.29%,1.18%,"279,134,505"
Indonesia,2015,29.29%,1.33%,"279,134,505"
Indonesia,2010,29.29%,1.34%,"279,134,505"
Indonesia,2005,29.29%,1.36%,"279,134,505"
Cambodia,2019,29.57%,1.46%,"17,168,639"
Cambodia,2018,29.57%,1.50%,"17,168,639"
Cambodia,2017,29.57%,1.54%,"17,168,639"
Cambodia,2015,29.57%,1.64%,"17,168,639"
Cambodia,2010,29.57%,1.52%,"17,168,639"
Cambodia,2005,29.57%,1.78%,"17,168,639"
Saudi Arabia,1970,23.71%,3.80%,"35,844,909"
Saudi Arabia,1965,23.71%,3.46%,"35,844,909"
Saudi Arabia,1960,23.71%,2.81%,"35,844,909"
Saudi Arabia,1955,23.71%,2.65%,"35,844,909"
Nigeria,2022,30.05%,2.57%,"216,746,934"
Turkey,2021,29.93%,1.27%,"85,561,976"
Turkey,2020,29.93%,1.09%,"85,561,976"
Turkey,2019,29.93%,1.32%,"85,561,976"
Turkey,2018,29.93%,1.51%,"85,561,976"
Turkey,2017,29.93%,1.61%,"85,561,976"
Turkmenistan,2022,30.25%,1.50%,"6,201,943"
Peru,2010,27.18%,0.82%,"33,684,208"
Peru,2005,27.18%,1.04%,"33,684,208"
Peru,2000,27.18%,1.72%,"33,684,208"
Peru,1995,27.18%,1.94%,"33,684,208"
Peru,1990,27.18%,2.22%,"33,684,208"
Guatemala,1985,24.76%,2.50%,"18,584,039"
Guatemala,1980,24.76%,2.51%,"18,584,039"
Guatemala,1975,24.76%,2.73%,"18,584,039"
Guatemala,1970,24.76%,2.91%,"18,584,039"
Guatemala,1965,24.76%,2.95%,"18,584,039"
Guatemala,1960,24.76%,3.04%,"18,584,039"
Iran,2019,30.04%,1.36%,"86,022,837"
Iran,2018,30.04%,1.40%,"86,022,837"
Iran,2017,30.04%,1.40%,"86,022,837"
Iran,2015,30.04%,1.25%,"86,022,837"
Iran,2010,30.04%,1.12%,"86,022,837"
Marshall Islands,1995,23.37%,1.31%,"60,057"
Marshall Islands,1990,23.37%,4.28%,"60,057"
Marshall Islands,1985,23.37%,4.63%,"60,057"
Marshall Islands,1980,23.37%,3.64%,"60,057"
Marshall Islands,1975,23.37%,4.63%,"60,057"
Marshall Islands,1970,23.37%,3.37%,"60,057"
Marshall Islands,1965,23.37%,3.35%,"60,057"
Chile,1955,27.17%,2.10%,"19,250,195"
Czech Republic,2022,31.57%,0.18%,"10,736,784"
Czech Republic,2021,31.57%,0.20%,"10,736,784"
New Zealand,1985,28.07%,0.76%,"4,898,203"
New Zealand,1980,28.07%,0.41%,"4,898,203"
New Zealand,1975,28.07%,1.81%,"4,898,203"
New Zealand,1970,28.07%,1.42%,"4,898,203"
New Zealand,1965,28.07%,2.05%,"4,898,203"
New Zealand,1960,28.07%,2.12%,"4,898,203"
Nepal,2022,33.07%,1.81%,"30,225,582"
Nepal,2021,33.07%,1.71%,"30,225,582"
Moldova,1975,28.82%,1.32%,"4,013,171"
Moldova,1970,28.82%,1.51%,"4,013,171"
Moldova,1965,28.82%,2.12%,"4,013,171"
Moldova,1960,28.82%,2.72%,"4,013,171"
Moldova,1955,28.82%,2.33%,"4,013,171"
Iceland,2022,33.13%,0.65%,"345,393"
Iceland,2021,33.13%,0.66%,"345,393"
Iceland,2020,33.13%,0.65%,"345,393"
Denmark,2022,33.61%,0.36%,"5,834,950"
Denmark,2021,33.61%,0.35%,"5,834,950"
Indonesia,2000,29.29%,1.44%,"279,134,505"
Indonesia,1995,29.29%,1.65%,"279,134,505"
Indonesia,1990,29.29%,1.92%,"279,134,505"
Indonesia,1985,29.29%,2.27%,"279,134,505"
Indonesia,1980,29.29%,2.44%,"279,134,505"
Indonesia,1975,29.29%,2.63%,"279,134,505"
Indonesia,1970,29.29%,2.74%,"279,134,505"
Cambodia,2000,29.57%,2.67%,"17,168,639"
Cambodia,1995,29.57%,3.49%,"17,168,639"
Cambodia,1990,29.57%,3.07%,"17,168,639"
Cambodia,1985,29.57%,2.88%,"17,168,639"
Cambodia,1980,29.57%,-2.31%,"17,168,639"
Cambodia,1975,29.57%,1.47%,"17,168,639"
Cambodia,1970,29.57%,1.59%,"17,168,639"
Cambodia,1965,29.57%,2.48%,"17,168,639"
Lithuania,2022,33.79%,-1.33%,"2,661,708"
Lithuania,2021,33.79%,-1.42%,"2,661,708"
Lithuania,2020,33.79%,-1.35%,"2,661,708"
Nigeria,2021,30.05%,2.60%,"216,746,934"
Nigeria,2020,30.05%,2.58%,"216,746,934"
Nigeria,2019,30.05%,2.60%,"216,746,934"
Nigeria,2018,30.05%,2.62%,"216,746,934"
Nigeria,2017,30.05%,2.64%,"216,746,934"
Nigeria,2015,30.05%,2.71%,"216,746,934"
Nigeria,2010,30.05%,2.68%,"216,746,934"
Taiwan,2022,33.91%,0.18%,"23,888,595"
Taiwan,2021,33.91%,0.20%,"23,888,595"
Taiwan,2020,33.91%,0.18%,"23,888,595"
Taiwan,2019,33.91%,0.20%,"23,888,595"
Turkey,2015,29.93%,1.66%,"85,561,976"
Turkey,2010,29.93%,1.27%,"85,561,976"
Turkey,2005,29.93%,1.43%,"85,561,976"
Turkey,2000,29.93%,1.57%,"85,561,976"
Turkey,1995,29.93%,1.64%,"85,561,976"
Turkey,1990,29.93%,1.88%,"85,561,976"
Turkey,1985,29.93%,2.24%,"85,561,976"
Turkey,1980,29.93%,2.29%,"85,561,976"
Turkmenistan,2021,30.25%,1.56%,"6,201,943"
Turkmenistan,2020,30.25%,1.50%,"6,201,943"
Turkmenistan,2019,30.25%,1.56%,"6,201,943"
Turkmenistan,2018,30.25%,1.62%,"6,201,943"
Turkmenistan,2017,30.25%,1.68%,"6,201,943"
Turkmenistan,2015,30.25%,1.81%,"6,201,943"
Peru,1985,27.18%,2.42%,"33,684,208"
Peru,1980,27.18%,2.61%,"33,684,208"
Peru,1975,27.18%,2.76%,"33,684,208"
Peru,1970,27.18%,2.82%,"33,684,208"
Peru,1965,27.18%,2.89%,"33,684,208"
Peru,1960,27.18%,2.77%,"33,684,208"
Peru,1955,27.18%,2.64%,"33,684,208"
Guatemala,1955,24.76%,3.08%,"18,584,039"
Iran,2005,30.04%,1.23%,"86,022,837"
Iran,2000,30.04%,1.32%,"86,022,837"
Iran,1995,30.04%,1.74%,"86,022,837"
Iran,1990,30.04%,3.55%,"86,022,837"
Iran,1985,30.04%,4.14%,"86,022,837"
Iran,1980,30.04%,3.38%,"86,022,837"
Marshall Islands,1960,23.37%,1.08%,"60,057"
Marshall Islands,1955,23.37%,1.34%,"60,057"
Czech Republic,2020,31.57%,0.18%,"10,736,784"
Czech Republic,2019,31.57%,0.22%,"10,736,784"
Czech Republic,2018,31.57%,0.23%,"10,736,784"
Czech Republic,2017,31.57%,0.21%,"10,736,784"
Czech Republic,2015,31.57%,0.12%,"10,736,784"
Czech Republic,2010,31.57%,0.54%,"10,736,784"
Czech Republic,2005,31.57%,-0.06%,"10,736,784"
Czech Republic,2000,31.57%,-0.13%,"10,736,784"
New Zealand,1955,28.07%,2.29%,"4,898,203"
Nepal,2020,33.07%,1.85%,"30,225,582"
Nepal,2019,33.07%,1.83%,"30,225,582"
Nepal,2018,33.07%,1.68%,"30,225,582"
Nepal,2017,33.07%,1.35%,"30,225,582"
Nepal,2015,33.07%,0.00%,"30,225,582"
Nepal,2010,33.07%,0.97%,"30,225,582"
Nepal,2005,33.07%,1.46%,"30,225,582"
Nepal,2000,33.07%,2.10%,"30,225,582"
Iceland,2019,33.13%,0.69%,"345,393"
Iceland,2018,33.13%,0.69%,"345,393"
Iceland,2017,33.13%,0.66%,"345,393"
Iceland,2015,33.13%,0.61%,"345,393"
Iceland,2010,33.13%,1.66%,"345,393"
Iceland,2005,33.13%,1.02%,"345,393"
Iceland,2000,33.13%,0.94%,"345,393"
Denmark,2020,33.61%,0.35%,"5,834,950"
Denmark,2019,33.61%,0.34%,"5,834,950"
Denmark,2018,33.61%,0.35%,"5,834,950"
Denmark,2017,33.61%,0.37%,"5,834,950"
Denmark,2015,33.61%,0.48%,"5,834,950"
Denmark,2010,33.61%,0.49%,"5,834,950"
Indonesia,1965,29.29%,2.70%,"279,134,505"
Indonesia,1960,29.29%,2.58%,"279,134,505"
Indonesia,1955,29.29%,2.13%,"279,134,505"
Cambodia,1960,29.57%,2.55%,"17,168,639"
Cambodia,1955,29.57%,2.62%,"17,168,639"
Bangladesh,2022,34.81%,1.01%,"167,885,689"
Bangladesh,2021,34.81%,1.03%,"167,885,689"
Lithuania,2019,33.79%,-1.49%,"2,661,708"
Lithuania,2018,33.79%,-1.55%,"2,661,708"
Lithuania,2017,33.79%,-1.53%,"2,661,708"
Lithuania,2015,33.79%,-1.26%,"2,661,708"
Lithuania,2010,33.79%,-1.35%,"2,661,708"
Lithuania,2005,33.79%,-0.92%,"2,661,708"
Lithuania,2000,33.79%,-0.70%,"2,661,708"
Nigeria,2005,30.05%,2.58%,"216,746,934"
Nigeria,2000,30.05%,2.53%,"216,746,934"
Nigeria,1995,30.05%,2.54%,"216,746,934"
Nigeria,1990,30.05%,2.65%,"216,746,934"
Nigeria,1985,30.05%,2.62%,"216,746,934"
Nigeria,1980,30.05%,2.99%,"216,746,934"
Nigeria,1975,30.05%,2.51%,"216,746,934"
Nigeria,1970,30.05%,2.23%,"216,746,934"
Nigeria,1965,30.05%,2.12%,"216,746,934"
Comoros,2022,35.08%,2.20%,"907,419"
Comoros,2021,35.08%,2.23%,"907,419"
Comoros,2020,35.08%,2.20%,"907,419"
Taiwan,2018,33.91%,0.22%,"23,888,595"
Taiwan,2017,33.91%,0.24%,"23,888,595"
Taiwan,2015,33.91%,0.32%,"23,888,595"
Taiwan,2010,33.91%,0.42%,"23,888,595"
Taiwan,2005,33.91%,0.66%,"23,888,595"
Taiwan,2000,33.91%,0.56%,"23,888,595"
Taiwan,1995,33.91%,0.84%,"23,888,595"
Turkey,1975,29.93%,2.40%,"85,561,976"
Turkey,1970,29.93%,2.40%,"85,561,976"
Turkey,1965,29.93%,2.43%,"85,561,976"
Turkey,1960,29.93%,2.51%,"85,561,976"
Turkey,1955,29.93%,2.54%,"85,561,976"
Turkmenistan,2010,30.25%,1.36%,"6,201,943"
Turkmenistan,2005,30.25%,1.03%,"6,201,943"
Turkmenistan,2000,30.25%,1.42%,"6,201,943"
Turkmenistan,1995,30.25%,2.70%,"6,201,943"
Turkmenistan,1990,30.25%,2.58%,"6,201,943"
Turkmenistan,1985,30.25%,2.43%,"6,201,943"
Iran,1975,30.04%,2.80%,"86,022,837"
Iran,1970,30.04%,2.70%,"86,022,837"
Iran,1965,30.04%,2.64%,"86,022,837"
Iran,1960,30.04%,2.57%,"86,022,837"
Iran,1955,30.04%,2.42%,"86,022,837"
Haiti,2022,36.23%,1.24%,"11,680,283"
Bosnia And Herzegovina,2022,36.34%,-0.62%,"3,249,317"
Bosnia And Herzegovina,2021,36.34%,-0.74%,"3,249,317"
Bosnia And Herzegovina,2020,36.34%,-0.61%,"3,249,317"
Bosnia And Herzegovina,2019,36.34%,-0.69%,"3,249,317"
Czech Republic,1995,31.57%,0.03%,"10,736,784"
Czech Republic,1990,31.57%,0.02%,"10,736,784"
Czech Republic,1985,31.57%,-0.03%,"10,736,784"
Czech Republic,1980,31.57%,0.55%,"10,736,784"
Czech Republic,1975,31.57%,0.51%,"10,736,784"
Czech Republic,1970,31.57%,0.01%,"10,736,784"
Czech Republic,1965,31.57%,0.46%,"10,736,784"
Czech Republic,1960,31.57%,0.48%,"10,736,784"
Tanzania,2022,36.57%,2.98%,"63,298,550"
Tanzania,2021,36.57%,3.00%,"63,298,550"
Nepal,1995,33.07%,2.68%,"30,225,582"
Nepal,1990,33.07%,2.32%,"30,225,582"
Nepal,1985,33.07%,2.34%,"30,225,582"
Nepal,1980,33.07%,2.27%,"30,225,582"
Nepal,1975,33.07%,2.14%,"30,225,582"
Nepal,1970,33.07%,1.93%,"30,225,582"
Latvia,2022,36.66%,-1.07%,"1,848,837"
Latvia,2021,36.66%,-1.11%,"1,848,837"
Latvia,2020,36.66%,-1.08%,"1,848,837"
Iceland,1995,33.13%,0.97%,"345,393"
Iceland,1990,33.13%,1.09%,"345,393"
Iceland,1985,33.13%,1.14%,"345,393"
Iceland,1980,33.13%,0.92%,"345,393"
Iceland,1975,33.13%,1.30%,"345,393"
Iceland,1970,33.13%,1.23%,"345,393"
Iceland,1965,33.13%,1.84%,"345,393"
Iceland,1960,33.13%,2.18%,"345,393"
Denmark,2005,33.61%,0.30%,"5,834,950"
Denmark,2000,33.61%,0.41%,"5,834,950"
Denmark,1995,33.61%,0.35%,"5,834,950"
Denmark,1990,33.61%,0.10%,"5,834,950"
Denmark,1985,33.61%,-0.04%,"5,834,950"
Denmark,1980,33.61%,0.24%,"5,834,950"
Norway,2022,36.75%,0.80%,"5,511,370"
Bangladesh,2020,34.81%,1.01%,"167,885,689"
Bangladesh,2019,34.81%,1.03%,"167,885,689"
Bangladesh,2018,34.81%,1.06%,"167,885,689"
Bangladesh,2017,34.81%,1.08%,"167,885,689"
Bangladesh,2015,34.81%,1.15%,"167,885,689"
Bangladesh,2010,34.81%,1.20%,"167,885,689"
Lithuania,1995,33.79%,-0.38%,"2,661,708"
Lithuania,1990,33.79%,0.74%,"2,661,708"
Lithuania,1985,33.79%,0.76%,"2,661,708"
Lithuania,1980,33.79%,0.79%,"2,661,708"
Lithuania,1975,33.79%,1.01%,"2,661,708"
Lithuania,1970,33.79%,1.12%,"2,661,708"
