title,authors,subjects
Curious George,Margret Rey,"Monkeys,Curious George (Fictitious character),Readers,Spanish language,Fiction,Monos,Spanish language materials,Giraffe,Big books,Bilingual,Juvenile fiction,Novela,Ficción juvenil,Curiosity,Children's fiction,Monkeys, fiction,Picture books,Curious george (fictitious character), fiction,Giraffes, fiction,Stories,Spanish language, textbooks for children,Bilingual books, spanish-english,Accessible book,Protected DAISY"
A Tree Is Nice,Janice May Udry,"Juvenile literature,Trees,JUVENILE NONFICTION,Animals,Ouvrages pour la jeunesse,Arbres,Play,Fiction,Concepts,Natural history,Seasons,Senses & Sensation,Juvenile fiction,Pictorial works,Trees, juvenile literature,Picture books,Picture books for children,Arboles,Literatura juvenil,Trees--Juvenile fiction,collectionID:caldecott50,Accessible book,Protected DAISY"
The bee-man of Orn,Frank R. Stockton,"Children's stories,Fairy tales,Tales,Fiction,Bees,Juvenile fiction,Children's literature,Picture books,Children's fiction,Bees, fiction,Accessible book"
There's a Wocket in my Pocket!,Dr. Seuss,"1974,Dr. Seuss,There's a Wocket in my Pocket,Bright and Early Books,Begining Beginners,Book Club Edition,Juvenile,Children's,Stories,Books,Literature,Fiction,Rhymes,Rhyming,Vocabulary,Animals,Picture books,Make-believe,Imaginary creatures,Rhyme,Houses,Social acceptance,Nonsense verses,Home (Concept),Imagination,Dwellings,Stories in rhyme,Concepts,Juvenile fiction,Words,JUVENILE FICTION,Children's poetry, American,Children's fiction,Vocabulary, fiction,Humorous stories,Accessible book,Protected DAISY"
Drummer Hoff,Ed Emberley,"Children's songs,Children's stories,Easy books,English Folk songs,Folk songs,Folklore,Juvenile fiction,Picture books,Soldiers,Texts,Children's poetry,Nursery rhymes,Children's fiction,Boys, fiction,Caldecott Medal,Caldecott medal book,Board books,Cumulative tales,On board pages,collectionID:caldecott60,Accessible book,Protected DAISY"
Matthew's Dream,Marta Borrás,"Fiction,Museums,Mice,Dreams,Artists,Juvenile fiction,Children's fiction,Boys, fiction,Artists, fiction,Picture books,Accessible book,Protected DAISY"
Bread and jam for Frances,Russell Hoban,"Fiction,Food habits,Badgers,Frances (Fictitious character : Hoban),Easy reading materials,Spanish language materials,Juvenile fiction,Badgers -- Fiction,Food habits -- Fiction,Children: Babies Toddlers,Children's fiction,Badgers, fiction,Food habits, fiction,Picture books,Food, fiction,Palmyra Church of the Brethren,Jam,Bread,Tejones,Novela,Hábitos alimenticios,Materiales en español,Spanish language,Reading materials,Alimentos,Tejons,Materiales lectura en idioma espanol,Animals, fiction,Accessible book,Protected DAISY"
Badger's Parting Gifts,Susan Varley,"Somali language materials,Death,Animals,Tejones,Children's stories, English,Ficción juvenil,Fiction,Chinese language materials,Children's stories, Vietnamese,Bilingual,Animales,Badgers,Children's fiction,Badgers, fiction,England, fiction,Death, fiction,Animals, fiction,Picture books,Picture books for children,Accessible book,Protected DAISY"
"Can't You Sleep, Little Bear?",Martin Waddell,"Beds,Picture books,Bears,Juvenile fiction,Children's stories, English,Children's literature,Fiction,Fear of the dark,Bedtime,Fear,Big books,Love,Juvenile,Instruction and study,Child development,Music,Pictorial works,Little Bear (Fictitious character : Waddell),Pictorial worksJuvenile fiction,Big Bear (Fictitious character : Waddell),Accessible book,Protected DAISY"
The very lonely firefly,Eric Carle,"Toy and movable books,Juvenile fiction,Fiction,Fireflies,Specimens,Picture books,Fireflies, fiction,Children's fiction,Loneliness, fiction,Reader (Elementary),Readers,Juvenile literature,Friendship, fiction,Primers,Accessible book,Protected DAISY"
Madeline and the bad hat,Ludwig Bemelmans,"Juvenile fiction,Stories in rhyme,Picture books,Friendship,Madeline <Fictitious character>,Picture books for children,Animal welfare,Juvenile literature,Pictorial works,Madeline (Fictitious character),Fiction,Children's fiction,Madeline (fictitious character), fiction,France, fiction,Paris (france), fiction,Orphans, fiction,Neighbors,Conduct of life,Cruelty,Fathers and sons,Practical jokes,Ambassadors,Children,Accessible book,Protected DAISY"
Ask Mr. Bear,Marjorie Flack,"Animals,Picture books,Bears,Birthdays,Fiction,Chidren's literature,Cumulative books,Specimens,Juvenile fiction,Bears -- Juvenile fiction,Birthdays, fiction,Bears, fiction,Children's fiction,Animals, fiction,Accessible book,Protected DAISY"
What the Ladybird Heard,Julia Donaldson,"Fiction,Animal sounds,Robbers and outlaws,Ladybugs,Stories in rhyme,Domestic animals,Juvenile fiction,Thieves,Children's fiction,Domestic animals, fiction,Sound, fiction,Animals, habits and behavior, fiction,Picture books,Animals, fiction,Ladybugs, fiction,Robbers and outlaws, fiction,Pictorial works,Accessible book,Protected DAISY"
Oliver Button is a sissy,Óscar Senra,"Fiction,Sex role,Dance,Juvenile fiction,Gay boys,Boys, fiction,Children's fiction,JUVENILE FICTION,Boys & Men,Dance, fiction,Rol sexual,Ficción juvenil,Danza,Sex role, fiction,Picture books,Accessible book,Protected DAISY"
The Giving Tree,Shel Silverstein,"Children's poetry, American,Fiction,Humorous poetry,Juvenile fiction,Latin language materials,Trees,Generosity,Boys,Love,Sacrifice,Arboles,Ficción juvenil,Life,Classics,Accelerated Reader 1.6.,Family,Multigenerational,Social Themes,Emotions & Feelings,Picture books for children,Children's fiction,Trees, fiction,Emotions, fiction,Picture books,Accessible book,Protected DAISY"
Oxford Picture Dictionary,Jayme Adelson-Goldstein,"English language, dictionaries,English language, dictionaries, juvenile,Picture dictionaries,English language, textbooks for foreign speakers,English language, dictionaries, creole dialects, french, haiti,English language, dictionaries, chinese,English language, dictionaries, urdu,Vocabulary,Vocabulary, juvenile literature,Picture books,Chinese language, dictionaries"
Oxford Reading Tree,Roderick Hunt,"Children's fiction,Clothing and dress, fiction,Sports, fiction,Shopping, fiction,Behavior, fiction,Friendship, fiction,Short stories,Parks, fiction,Mothers, fiction,Readers,English language, juvenile literature,Pets, fiction,Dogs, fiction,Picture books,Language and languages,Readers (Primary),Accessible book,Protected DAISY"
We're Going on a Bear Hunt,Helen Oxenbury,"Picture books,Hunting,Bears,Juvenile fiction,Board books,Fiction,Children's fiction,Bears, fiction,Hunting, fiction,Pictorial works,Accessible book,Protected DAISY"
Caps for Sale,Esphyr Slobodkina,"Peddlers and peddling,Juvenile fiction,Monkeys,Blind,Books and reading,Peddlers,Hats,Children: Kindergarten,folk tales,picture books,Accessible book,Protected DAISY"
Brave Irene,Teresa Mlawer,"Blizzards,Juvenile fiction,Fiction,Picture books,Children's fiction,Girls, fiction,Storms, fiction,Blind,Courage,Books and reading,Snow, fiction,Spanish language materials,Accessible book,Protected DAISY"
Amos & Boris,William Steig,"Children's fiction,Mice, fiction,Whales, fiction,Friendship, fiction,Whales,Fiction,Children's stories,Mice,Friendship,Juvenile fiction,Accelerated Reader - 3.8.,Picture books,Mice in fiction,Friendship in fiction,Spanish language materials,Whales in fiction,Ballenas,Amistad,Ficción juvenil,Ratones,Accessible book,Protected DAISY"
James the red engine,W. Awdry,"Fiction,Short stories,Children's stories, English,Railroads,Trains,Railroad trains,Children's fiction,Picture books,Pictorial works,Juvenile fiction,Accessible book,Protected DAISY"
The secret birthday message,Esther Rubio Muñoz,"Toy and movable books,Juvenile fiction,Birthdays,Fiction,Specimens,Children's fiction,Birthdays, fiction,Children's stories,Children: Babies Toddlers,Picture books,China, fiction,Accessible book,Protected DAISY"
Jumanji,Chris Van Allsburg,"Play,Juvenile fiction,Fiction,Games,Jungle animals,Brothers and sisters,Success,Adventure and adventurers,Board games,Diligence,Children's literature,Fantasy,Dangerous animals,Dice,Picture books,Jeu,Romans, nouvelles, etc. pour la jeunesse,Juvenile literature,Jeux,Caldecott Medal,Children's fiction,Adventure and adventurers, fiction,Fantasy fiction,collectionID:caldecott80,Accessible book,Protected DAISY"
Yertle the turtle,Dr. Seuss,"Stories in rhyme,Juvenile literature,Children's stories,Children's poetry,Turtles,Children's stories, American,Turtles in fiction,Spanish language materials,Translations into Spanish,Jealousy,Poetry,Jealousy in fiction,Fiction,Pride and vanity in fiction,Pride and vanity,Short stories,Juvenile fiction,Picture books,Animals,Fantasy,Juvenile poetry,Tail,Boastfulness in literature,Birds,Children's fiction,Turtles, fiction,Accessible book,Protected DAISY"
"Go, Dog. Go!",P. D. Eastman,"P.D. Eastman,Go,Dog. Go!,Transportation,Picture books,Juvenile fiction,Rhymes,Word recognition,Dogs,Novela juvenil,Stories in rhyme,Spanish language materials,Fiction,Juvenile literature,Perros,Children's fiction,Dogs, fiction,Readers,Travel, fiction,Transportation, fiction,Accessible book"
The Foot Book,Dr. Seuss,"Toy and movable books,Children's stories, American,Board books,Fiction,Stories in rhyme,Foot,Specimens,Juvenile fiction,picture books,Children's Books/Baby-Preschool,Children's fiction,Accessible book,Protected DAISY"
Hector Protector and As I Went Over the Water,Maurice Sendak,"Nursery rhymes,Picture books for children,Picture books,American Nursery rhymes,Nursery rhymes, American,Children's fiction,Dogs, fiction,Accessible book,Protected DAISY"
Best friends for Frances,Russell Hoban,"Fiction,Badgers,Brothers and sisters,Juvenile fiction,Frances (Fictitious character),Friendship,Pictorial works,Children's stories,Children: Grades 1-2,Children's fiction,Badgers, fiction,Picture books,Friendship, fiction,Accessible book,Protected DAISY"
"Good-night, Owl!",Pat Hutchins,"Juvenile fiction,Animals,Owls,Fiction,Children's stories,Sleep,Owls -- Juvenile fiction,Owls, fiction,Picture books,Children's fiction,Accessible book,Protected DAISY"
The Swirling Hijaab,Na'íma bint Robert,"hijab,hijaab,children's fiction,juvenile fiction,bilingualism,picture book,picture books,Islam,Muslim faith,Persian language materials,Muslim girls,Costume,Bilingual,Fiction,Arabic language materials,Costume -- Fiction.,Arabic language materials -- Bilingual.,Islamic clothing and dress,Women's clothing,Imagination,Portuguese language materials,Mother and child,Muslims, fiction,Clothing and dress, fiction,Children's fiction,Juvenile fiction,Pushtu language materials,Malay language materials,Accessible book,Protected DAISY"
"Brown Bear, Brown Bear, What Do You See?",Bill Martin,"Fiction,Children's Books/Baby-Preschool,Animals,Color,Juvenile fiction,Stories in rhyme,Colors,Ficción juvenil,Vietnamese language materials,Spanish language materials,Japanese language,Colores,Bilingual,Animales,Rhyme,Storytelling,Bears,Children's fiction,Color, fiction,Animals, fiction,Bilingual books, spanish-english,Bears, fiction,Senses and sensation, fiction,Color -- Fiction,Animals -- Fiction,picture books,board books,Accessible book,Protected DAISY"
If I Ran the Zoo,Dr. Seuss,"Seuss,picture books,kids,zoos,imaginary animals,juvenile fiction,Children's fiction,Nonsense verses,Humorous stories,Juvenile poetry,Imagination,Fiction,Stories in rhyme,Mythical Animals,Pictorial works,Children's poetry, American,Juvenile literature,Fantasy,JUVENILE FICTION / Humorous Stories,Fantasy fiction,JUVENILE FICTION / Animals / Zoos,JUVENILE FICTION / Classics,Imaginary creatures,collectionID:caldecotthonor50,Accessible book,Protected DAISY"
Keeping up with Cheetah,Lindsay Camp,"Juvenile fiction,Fiction,Cheetah,Hippopotamus,Friendship,picture book,picture books,bilingual,bilingualism,Chinese,English,Children's fiction,Animals, fiction,Hippopotamus, fiction,Friendship, fiction,Accessible book,Protected DAISY"
Many Moons,James Thurber,"Princesses,Juvenile fiction,Fiction,Caldecott Medal,unicorns,illustration,Children's fiction,Fairy tales,Moon, fiction,Picture books,collectionID:caldecott40,Accessible book,Protected DAISY"
Charlie Cook's favorite book,Steven Pacey,"Books and reading,Stories in rhyme,Juvenile fiction,Fiction,Children's fiction,Toy and movable books,Books and reading, fiction,Ipuinak-,Libros infantiles,Cuentos-,Irakurketa-,Haur eta gazteentzako liburuak,Lectura-,Picture books,Pictorial works,Circular tales,Student activities,Creative activities and seat work,Pirates, fiction,Adventure and adventurers, fiction,Books, fiction,Cartoons and comics,Accessible book,Protected DAISY"
Choo Choo,Virginia Lee Burton,"Juvenile fiction,Railroads,Fiction,Trains,Railroad trains,Job satisfaction,Locomotives,Children's fiction,Railroads, fiction,Picture books,Locomotives, fiction,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
A birthday for Frances,Lillian Hoban,"Fiction,Birthdays,Badgers,Behavior,Juvenile fiction,Human behavior,Juvenile literature,Children's stories,Children's fiction,Birthdays, fiction,Picture books,Badgers, fiction,Sisters,Colorado, fiction,Angels, fiction,Identity, fiction,Supernatural, fiction,Good and evil, fiction,Behavior, fiction,Accessible book,Protected DAISY"
Winnie and Wilbur,Valerie Thomas,"Children's fiction,Witches, fiction,Picture books,Readers,Adventure and adventurers, fiction,Witches,Juvenile fiction,Winnie the Witch (Fictitious character),Birthdays,Pictorial works,Accessible book,Protected DAISY"
"Histoire de Babar, le petit éléphant",Jean de Brunhoff,"Readers,French language,Juvenile fiction,Elephants,Fiction,Folklore,Children's fiction,Picture books,Elephants, fiction,Babar (fictitious character), fiction,Pictorial works,Description and travel,Accessible book,Protected DAISY"
Mr Gumpy's outing,John Burningham,"Discipline,Animals,Boats and boating,Juvenile fiction,Domestic animals,Fiction,Children's fiction,Boats and boating, fiction,Picture books"
Pinta ratones,Ellen Stoll Walsh,"Color,Spanish language materials,Fiction,Ficción juvenil,Ratones,Mice,Painting,Children's fiction,Mice, fiction,Color, fiction,Picture books,Board books,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
The littlest angel,Charles Tazewell,"Picture books,Toy and movable books,Angels,Christmas stories,Fiction,Specimens,Juvenile literature,Christmas,Juvenile fiction,Children's fiction,Angels, fiction,Christmas, fiction,Accessible book,Protected DAISY"
"A story, a story",Gail Haley (duplicate),"Children's stories,Folklore,Juvenile fiction,picture books,juvenile literature,African folktale,tricksters,Caldecott Medal,Children's fiction,Animals, fiction,Folklore, africa,Picture books for children,collectionID:caldecott70,Accessible book,Protected DAISY"
"Brown Bear, Brown Bear, What Do You See?","Martin, Bill, Jr.","Children's fiction,Bears, fiction,Color,Color, juvenile literature,Animals, pictorial works,Animals, juvenile literature,Color, fiction,Stories in rhyme,Animals, fiction,Indians of north america, medicine,Juvenile fiction,Bears,Animals,Fiction,Picture books,Toy and movable books,Accessible book,Protected DAISY"
The Big Snow,Elmer Hader,"Animal behavior,Animals,Fiction,Juvenile fiction,Juvenile literature,Legends,Winter,Forest animals,Snow,Caldecott Medal,Accelerated Reader 3.9.,Children's fiction,Snow, fiction,Animals, fiction,Winter, fiction,Picture books,collectionID:caldecott40,Accessible book,Protected DAISY"
The ABC bunny,Wanda Gág,"Alphabet rhymes,Rabbits,Stories in rhyme,Alphabet,Juvenile fiction,Fiction,English language, alphabet, juvenile literature,Juvenile literature,Picture books,Alphabet books,Newbery Honor,Accessible book,Protected DAISY"
A tree is a plant,Clyde Robert Bulla,"Juvenile literature,Trees,Life cycles,Apples,Trees, juvenile literature,Apples, juvenile literature,Picture books,Accessible book,Protected DAISY"
Don't Let the Pigeon Drive the Bus!,Mo Willems,"Spanish language books,Children's Books/Baby-Preschool,Readers,Pigeons,Spanish language,Fiction,Spanish language -- Juvenile fiction,Bus drivers,Juvenile fiction,Humorous stories,Children's fiction,Birds, fiction,Picture books,Spanish language materials,Pigeons, fiction,Bus drivers, fiction,Humor,Frustration,Wunsch,Omnibusfahrer,Complaints (Rhetoric),Tauben,Juvenile Wit and humor,Pleading,Reader,Persuasion (Rhetoric),Trucks,Beginner,Buses,Begging,Bribery,Anger,Ouvrages illustrés,Conducteurs d'autobus,Disappointment,Ficción juvenil,Palomas,Conductores de autobús,Children's stories, American,Specimens,Temper tantrums,collectionID:caldecotthonor00,Accessible book,Protected DAISY"
Nana Upstairs & Nana Downstairs,Tomie dePaola,"Fiction,Grandmothers,Death,Great-grandmothers,Old age,Juvenile fiction,Children and death,Grief for young children,Death, fiction,Grandparents, fiction,Old age, fiction,Picture books,Children's fiction,Children: Grades 1-2,Abuelas,Novela juvenil,Vejez,Muerte,Accessible book,Protected DAISY"
Lost in Little Bear’s Room,Else Holmelund Minarik,"Animals,Picture books,Little Bear (Fictitious character : Minarik),Bears,Weddings,Fiction,Toys,Juvenile Easy Readers,Little Bear (Fictional character : Minarik),Accelerated Reader,Children: Kindergarten,Bears, fiction,Birthdays, fiction,Children's fiction,Marriage, fiction,Butterflies, fiction,Family life, fiction,Accessible book,Protected DAISY"
Bing,Ted Dewan,"Handicraft,Juvenile fiction,Fiction,Rabbits,Pictorial works,Swings,Clothing and dress,Painting,Bedtime,Music,Picture books,Color,Accessible book,Protected DAISY"
Little Toot,Hardie Gramatky,"Tugboats,Juvenile fiction,Tugboats in fiction,Fiction,Courage,Ambition,Boats and boating,Fear,Picture books,Adventure stories,Ship's papers,Children's fiction,Tugboats, fiction,Accessible book,Protected DAISY"
Time of Wonder,Robert McCloskey,"Fiction,Islands,Juvenile fiction,Islands in fiction,Maine in fiction,Vacations,Summer,Seashore,Children's fiction,Maine, fiction,Children's stories,Picture books,Seasons,Natural history,Maine,Description and travel,Stories,collectionID:caldecott50,Accessible book,Protected DAISY"
Sharing a Shell,Julia Donaldson,"Children's fiction,Sharing, fiction,Stories in rhyme,Picture books,Crabs,Sharing,Marine animals,Fiction,Juvenile fiction,Shells,Pictorial works,Friendship,Seashore ecology,Seashore animals,Beaches,Accessible book,Protected DAISY"
Pete's a Pizza,William Steig,"Children's fiction,Play,Indoor games,Juvenile fiction,Fiction,Parent and child,Pizza,Parent and child in fiction,Indoor games in fiction,Pizza in fiction,Play in fiction,Pictorial works,Parent and child, fiction,Play, fiction,Food, fiction,Picture books,Games,Parents et enfants,Romans, nouvelles, etc. pour la jeunesse,Jeux,Accessible book,Protected DAISY"
Freight train,Donald Crews,"Big books,Children's stories,Children's stories, American,Color,Colors,Freight cars,Juvenile fiction,Juvenile literature,Pictorial works,Picture books,Picture books for children,Railroad trains,Railroads,Trains,Fiction,Children's fiction,Railroads, fiction,Transportation,Child Development,collectionID:caldecotthonor70,Accessible book,Protected DAISY"
Feast for 10,Cathryn Falwell,"Cocina,Family life,Fiction,Ficción juvenil,Afronorteamericanos,Contar (Enumerar),Counting,African Americans,Cookery,Vida familiar,Juvenile fiction,Cooking,Children's fiction,Counting books,Cooking, fiction,Family life, fiction,African americans, fiction,Fasts and feasts, fiction,Picture books,Family, fiction,Entertaining, fiction,Accessible book,Protected DAISY"
Struwwelpeter,Heinrich Hoffmann,"Children's fiction,Picture books,Short stories,Retribution,Human behavior,Juvenile fiction,Translations into English,Fiction,Stories in rhyme,Children's stories, German,Behavior"
Brian Wildsmith's Farm Animals,Naaltsoos Ayiilaa,"Animal sounds,Spanish language materials,Domestic animals,Animales domésticos,Juvenile literature,Literatura juvenil,Children: Kindergarten,Domestic animals, pictorial works,Domestic animals, juvenile literature,Picture books for children,Picture books,Juvenile fiction,Fiction,Specimens,Board books,Farms,Animals,Bilingual,Accessible book,Protected DAISY"
No Roses for Harry!,Gene Zion,"Juvenile fiction,Dogs,Fiction,Sweaters,Spanish language materials,Ficción juvenil,Perros,Children's fiction,Birthdays, fiction,JUVENILE FICTION,Animals,Classics,Social Themes,Manners & Etiquette,Picture books,Dogs, fiction,Accessible book,Protected DAISY"
Horton Hatches the Egg,Dr. Seuss,"Children's stories,Elephants,Fiction,Folklore,Humorous stories,Juvenile fiction,Stories in rhyme,Legends and stories,Picture books,Eggs,Parenting,Incubation,Fantasy,Classics,Animals,Fantasy fiction,Children's literature,Stories in Verse,Reliability,JUVENILE FICTION,Children's fiction,Elephants, fiction,Accessible book,Protected DAISY"
They All Saw a Cat,Brendan Wenzel,"picture books,perspective,juvenile literature,Juvenile fiction,Cats,Fiction,JUVENILE FICTION / Imagination & Play,JUVENILE FICTION / Animals / Cats,JUVENILE FICTION / Concepts,Perspective (Philosophy),Identity,Identity (Psychology),Identity (Philosophical concept),Children's fiction,Cats, fiction,Perception, fiction,Animals, fiction,Perception,Animals,nyt:picture-books=2016-09-18,New York Times bestseller"
Bambi,Felix Salten,"Children's fiction,Bambi (fictitious character), fiction,Picture books,Deer, fiction,Accessible book,Protected DAISY"
My world,Margaret Wise Brown,"Juvenile fiction,Rabbits,Family life,Family,Fiction,Children's fiction,Rabbits, fiction,Family life, fiction,Picture books,Spanish language materials,Families,Novela juvenil,Familia,Conejos,Ficción juvenil,Bilingual books, spanish-english,Family, fiction,Senses and sensation, fiction,Accessible book,Protected DAISY"
Morgan and Me,Robin James,"Fiction,Procrastination,Princesses,Spanish language,Spanish language books,Readers,Juvenile fiction,Unicorns,Picture books,Children: Grades 2-3,Human behavior,Children's fiction,Fantasy fiction,Accessible book,Protected DAISY"
Goldilocks and the Three Bears,Jeanne Willis,"Children's fiction,Fairy tales,Bears, fiction,Picture books,Folklore,Folklore, juvenile literature,Bears,Juvenile literature,Girls,Osos,Literatura juvenil,Children's stories,Toy and movable books,Accessible book,Protected DAISY"
I want my dinner,Christine Mayer,"Fiction,Etiquette,Princesses,Children's stories, English,Picture books for children,Children's fiction,Behavior, fiction,Cortesía,Juvenile fiction,Princesas,Courtesy,Ficción juvenil,Pequeña Princesa (Personaje literario),Libros de láminas,Pictorial works,Picture books,Accessible book,Protected DAISY"
Stick Man,Axel Scheffler,"Fiction,Stories in rhyme,Twigs,Christmas,Santa Claus,Children's fiction,Picture books,Toy and movable books,Santa claus, fiction,Christmas, fiction,Fathers,Children's stories, English,Families,Juvenile fiction,Readers (primary),Accessible book,Protected DAISY"
Hey Duggee,Ladybird Books Staff,"Children's fiction,Picture books"
Bing,Ted Dewan,"Rabbits,Juvenile fiction,Painting,Colors,Children's fiction,Music, fiction,Picture books,Bing (Fictitious character),Pictorial works,Music,Bedtime, fiction,Accessible book,Protected DAISY"
Indestructibles,Amy Pixton,"Children's fiction,Infants, fiction,Animals, infancy,Animals, infancy, juvenile literature,Vocabulary,Vocabulary, juvenile literature,Picture books,Food, juvenile literature,Food,Houses,Dwellings, juvenile literature,Cities and towns,Cities and towns, juvenile literature,Spanish language,Spanish language, juvenile literature"
My Friend Rabbit,Eric Rohmann,"Rabbits,Juvenile fiction,Fiction,Animals,Mice,Friendship,Juvenile literature,picture books,Play,Problem solving,Toys,Children's fiction,Friendship, fiction,Rabbits, fiction,Mice, fiction,Amistad,Ficción juvenil,Ratones,Conejos,Animales,Animals, fiction,collectionID:caldecott00,Accessible book,Protected DAISY"
The Secret Staircase (Brambly Hedge),Jill Barklem,"Children's stories,Children's fiction,Mice, fiction,Country life, fiction,England, fiction,Country life,England,Fiction,Mice,Hiding places (Secret chambers, etc.),Picture books,Juvenile fiction,Brambly Hedge (Imaginary place),Festivals,Accessible book,Protected DAISY"
A letter to Amy,Ezra Jack Keats,"Birthdays,Fiction,Letters,Juvenile fiction,Accelerated Reader,JUVENILE FICTION / People & Places / United States / African American,JUVENILE FICTION / Classics,JUVENILE FICTION / Social Themes,Curriculum library,Children's fiction,Birthdays, fiction,Picture books,Letter writing, fiction,Accessible book,Protected DAISY"
Peg + Cat,Billy Aronson,"Children's fiction,Cats, fiction,Automobile racing, fiction,Penguins, fiction,Adventure and adventurers, fiction,Fasts and feasts, fiction,Islam, fiction,Sleepovers, fiction,Picture books,Food, fiction,Accessible book,Protected DAISY"
Stevie,John Steptoe,"Spanish language materials,Friendship,Fiction,African Americans,Juvenile fiction,Picture books,Materiales en español,Novela,Amistad,Hospitality,Entertaining,Friends,Children's fiction,Friendship, fiction,Accessible book,Protected DAISY"
The Deer in the Wood,Renée Graef,"Deer,Frontier and pioneer life,Family life,Fiction,Children's fiction,Deer, fiction,Frontier and pioneer life, fiction,Wisconsin, fiction,Family life, fiction,Juvenile fiction,Historical fiction,Picture books,Family,Families,Accessible book,Protected DAISY"
The emperor and the kite,Jane Yolen,"Folklore,Fathers and daughters,Kites,Juvenile literature,Fiction,Fathers and daughters in fiction,Kites in fiction,picture book for children,children's stories,Love,Escapes,Loneliness,Imprisonment,Loyalty,Emperors,Fairy tales,Juvenile fiction,Picture books,Picture books for children,Children's fiction,Kings, queens, rulers, etc., fiction,Kites, fiction,collectionID:caldecotthonor60,Accessible book,Protected DAISY"
Paddington,Tatjana Kröll,"Bears,Juvenile fiction,Fiction,JUVENILE FICTION,Animals,Classics,Humorous Stories,Paddington Bear (Fictitious character),Fantasy,Pictorial works,Children's fiction,Paddington bear (fictitious character), fiction,Picture books,Toy and movable books,Bär,Alltag,Abenteuer,Peru, fiction,Family, fiction,Travel, fiction,Accessible book,Protected DAISY"
Leo the late bloomer,Robert Kraus,"Tigers,Fiction,Spanish language materials,Juvenile fiction,Bilingual,Hmong language materials,Readers,Board books,Spanish language,Tiger,Children's stories,Ficción juvenil,Tigres,Children's fiction,Tiger, fiction,Picture books,Accessible book,Protected DAISY"
Tillie and the wall,Leo Lionni,"Mice,Fiction,Juvenile fiction,Spanish language materials,Spanish language,Novela juvenil,Walls,Ratones,Muros,Juvenile literature,Children's fiction,Mice, fiction,Adventure and adventurers, fiction,Picture books,Accessible book,Protected DAISY"
Home for a Bunny,Margaret Wise Brown,"Children's fiction,Rabbits, fiction,Home, fiction,Rabbits,Fiction,Animals,Habitations,Juvenile fiction,Short stories,Picture books,Spanish language materials,Ficción juvenil,Conejos,Animales,Moradas,Accessible book,Protected DAISY"
Outside over there,Maurice Sendak,"Goblins,Families,Mental Depression,Juvenile fiction,Sisters,Fiction,Fantasy,Kidnapping,Determination (Personality trait),Infants,Horn (Musical instrument),Calligraphy,UP Elementary,Reading List,Siblings,Hockaday,Fantasy fiction,Before kindergarten,Entering 2nd grade,Children's fiction,Picture books,Children's stories, American,Illustrated children's books,Sisters, fiction,Spanish language materials,Depresión mental,Ficción juvenil,Babies,Niños,Secuestro,Hermanos,Familias,collectionID:caldecotthonor80,Accessible book,Protected DAISY"
The moon jumpers,Janice May Udry,"Night,Fiction,Night in fiction,Children's stories,Juvenile fiction,Children's fiction,Moon, fiction,Play,collectionID:caldecotthonor60,Picture books,Accessible book,Protected DAISY"
I want my mom!,Tony Ross,"Mothers and daughters,Kings, queens, rulers,Princesses,Fiction,Juvenile fiction,Children's fiction,Princesses, fiction,Mothers and daughters, fiction,Kings, queens, rulers, etc., fiction,Mothers,Mother and child, fiction,Picture books,Princesas,Madres e hijas,Ficción juvenil,Pequeña Princesa (Personaje literario),Libros de láminas,Pictorial works,Accessible book,Protected DAISY"
Nijntje in de dierentuin,Dick Bruna,"Zoo animals in fiction,Rabbits,Zoo animals,Juvenile fiction,Miffy (Fictitious character),Fiction,Stories in rhyme,Rabbits in fiction,Zoos,Pictorial works,Child and youth fiction,Children's fiction,Zoo animals, fiction,Picture books,Accessible book,Protected DAISY"
"A Boy, a Dog, and a Frog",Mercer Mayer,"Frogs,Picture books,Fiction,Children's stories,Baths,Children's fiction,Boys, fiction,Dogs, fiction,Frogs, fiction,Stories without words,Accessible book,Protected DAISY"
The Sneetches and other stories,Dr. Seuss,"Toleration,Conduct of life,Children's stories, American,Juvenile fiction,Prejudices,Stories in verse,poetry,Fiction,Short stories,Stories in rhyme,Nonsense-verses,Fantasy,JUVENILE FICTION / Stories in Verse,Nonsense verses,JUVENILE FICTION / Classics,JUVENILE FICTION / Social Themes / Prejudice & Racism,Children's fiction,Humorous stories,Picture books,Accessible book,Protected DAISY"
The very fairy princess,Julie Andrews,"Gratitude,Schools,Fiction,Princesses,Children's fiction,Picture books"
The Magic School Bus on the Ocean Floor,Cassandra Morris,"Juvenile literature,Marine animals,Ocean,Marine ecology,Ocean bottom,Picture books,Littérature de jeunesse anglaise,Science,School field trips,Study and teaching,Faune marine,Women science teachers,Ouvrages illustrés,Fonds marins,Deep-sea fishes,Marine biology,Ocean, juvenile literature,Marine animals, juvenile literature,Accessible book,Protected DAISY"
